time_casa;time_visitante;total_gols_casa;total_gols_visitante;total_gols_jogo;total_escanteios_casa;total_escanteios_visitante;total_cartoes_amarelos_casa;total_cartoes_vermelhos_casa;total_cartoes_amarelos_visitante;total_cartoes_vermelhos_visitante;chutes_casa;chutes_visitanes;chutes_no_gol_casa;chutes_no_gol_visitante;chutes_fora_do_gol_casa;chutes_fora_do_gol_visitante;faltas_time_casa;faltas_time_visitante;posse_de_bola_casa;posse_de_bola_visitante;liga;qtd_torcedores;mes;dia;ano;key_home;key_away
atleticogo;palmeiras;1;3;4;5;9;1;0;1;0;15;12;7;4;8;8;14;19;53;47;southamerica;22691;9;7;2013;atleticogo_bra;palmeiras_bra
parana;abc;1;0;1;12;5;6;0;5;0;15;5;10;2;5;3;16;27;48;52;brazilcopa;9177;9;8;2013;parana_bra;abc_bra
sportrecife;icasa;0;2;2;15;2;1;0;2;1;18;10;7;2;11;8;12;18;52;48;brazilcopa;10095;9;8;2013;sportrecife_bra;icasa_bra
figueirense;americamineiro;1;2;3;4;4;0;0;3;0;9;7;7;3;2;4;18;22;47;53;southamerica;2634;9;9;2013;figueirense_bra;americamineiro_bra
boa;bragantino;0;0;0;15;1;4;0;6;0;12;16;7;6;5;10;25;33;51;49;brazilserie;679;9;10;2013;boa_bra;bragantino_bra
oeste;chapecoense;1;0;1;4;11;2;0;1;0;7;12;2;2;5;10;27;12;49;51;brazilserie;2102;9;10;2013;oeste_bra;chapecoense_bra
saocaetano;parana;2;1;3;4;10;2;0;1;0;9;8;4;5;5;3;25;19;52;48;brazilserie;396;9;10;2013;saocaetano_bra;parana_bra
guaratingueta;avai;1;0;1;7;3;1;0;2;0;7;10;3;5;4;5;19;20;52;48;brazilserie;1247;9;10;2013;guaratingueta_bra;avai_bra
paysandu;ceara;2;1;3;5;6;0;0;4;0;7;9;4;3;3;6;18;24;53;47;brazilcopa;9344;9;10;2013;paysandu_bra;ceara_bra
joinville;atleticogo;2;1;3;3;5;3;0;3;0;9;12;3;3;6;9;22;15;53;47;brazilserie;8714;9;10;2013;joinville_bra;atleticogo_bra
